,c1,c2,t1,t2
YDR471W,13.847076461769115,14.118440779610195,13.533233383308346,9.695152423788105
YDR472W,56.772613693153424,51.798100949525235,63.033483258370815,65.32283858070964
YDR473C,2.6881559220389803,2.583208395802099,2.710144927536232,3.5017491254372812
YDR476C,5.751124437781109,4.909045477261369,5.876061969015492,3.3248375812093953
YDR477W,4.511244377811095,4.124937531234383,4.586706646676662,5.162418790604698
YDR478W,3.8715642178910543,3.0549725137431283,4.464267866066966,3.732633683158421
YDR479C,2.632183908045977,2.4037981009495253,2.4472763618190903,3.0144927536231885
YDR480W,4.167416291854073,2.902048975512244,3.126936531734133,4.167416291854073
YDR481C,5.613193403298351,5.451774112943529,5.347326336831585,4.748625687156422
YDR482C,3.430784607696152,4.106946526736632,3.6516741629185407,2.4027986006996502
YDR483W,6.226886556721639,6.451274362818591,6.2743628185907045,5.224887556221889
YDR484W,4.826586706646677,2.9420289855072466,4.478760619690155,4.665167416291854
YDR485C,5.088455772113943,3.71864067966017,5.503748125937031,4.342828585707147
YDR486C,6.460769615192404,5.5502248875562215,5.779610194902549,5.256871564217891
YDR487C,3.5942028985507246,3.820089955022489,3.7011494252873565,3.1199400299850075
YDR488C,2.4122938530734634,2.0194902548725637,1.8730634682658671,1.734632683658171
YDR489W,4.800599700149925,3.6446776611694154,5.553223388305847,5.164417791104448
YDR490C,2.1959020489755123,1.7461269365317342,2.1379310344827585,2.2273863068465767
YDR492W,7.8255872063968015,6.3098450774612695,4.897551224387806,4.697151424287856
YDR493W,10.752123938030984,9.414292853573214,11.144927536231885,8.568215892053972
YDR494W,3.28135932033983,2.783608195902049,4.830584707646177,3.031984007996002
YDR495C,4.978510744627686,4.939530234882559,5.456271864067966,5.041979010494753
YDR496C,25.752123938030984,21.08095952023988,7.953023488255872,8.61319340329835
YDR497C,29.08645677161419,32.34682658670665,10.412293853073463,9.512743628185907
YDR498C,4.609195402298851,3.63968015992004,3.176911544227886,4.218390804597701
YDR499W,2.898050974512744,3.0549725137431283,2.096951524237881,3.5922038980509745
YDR500C,19.800599700149924,20.665667166416792,21.895552223888057,15.42328835582209
YDR501W,1.9800099950024987,2.3018490754622687,2.2258870564717643,2.6626686656671663
YDR502C,6.740129935032484,7.128935532233883,4.255872063968016,3.8800599700149925
YDR503C,3.7521239380309845,3.456271864067966,2.427286356821589,2.4332833583208395
YDR505C,3.44327836081959,2.3318340829585207,3.470264867566217,3.24087956021989
YDR506C,2.9940029985007497,1.76311844077961,2.9610194902548725,4.057471264367816
YDR507C,5.378310844577711,4.177411294352823,2.191904047976012,3.075462268865567
YDR508C,42.71614192903548,47.62168915542229,15.312843578210895,21.449775112443778
YDR510W,6.166416791604198,6.438280859570215,5.645177411294353,5.31784107946027
YDR511W,6.441779110444777,5.699650174912544,7.321339330334832,6.03848075962019
YDR512C,5.011994002998501,5.057471264367816,7.101949025487256,4.588705647176412
YDR513W,4.948025987006496,3.527736131934033,5.078460769615193,5.825087456271864
YDR514C,3.0209895052473765,3.0324837581209394,3.5857071464267865,3.393303348325837
YDR515W,2.71464267866067,2.008495752123938,2.36431784107946,3.322838580709645
YDR517W,3.9105447276361818,3.025987006496752,3.821089455272364,2.5957021489255374
YDR518W,4.970514742628685,3.7781109445277363,4.51424287856072,4.1144427786106945
YDR519W,4.28135932033983,4.197901049475262,5.574712643678161,3.9665167416291855
YDR520C,3.43928035982009,2.7671164417791103,2.8510744627686155,3.395802098950525
YDR524C,69.24787606196901,54.69065467266367,35.217891054472766,32.58520739630185
YDR524C-B,101.95102448775611,119.6471764117941,86.31384307846076,97.62868565717142
YDR525W-A,12.904547726136931,13.301849075462268,8.063468265867067,7.48575712143928
YDR527W,12.44727636181909,10.185407296351825,9.257871064467766,6.881559220389805
YDR528W,2.711144427786107,1.7746126936531734,1.8895552223888057,2.9495252373813092
YDR529C,5.48375812093953,5.7976011994003,8.374312843578211,5.426786606696652
YDR530C,3.3628185907046477,3.5147426286856573,3.5172413793103448,3.976511744127936
YDR531W,3.553723138430785,2.614192903548226,3.6421789105447275,3.4812593703148424
YDR532C,3.9345327336331835,2.7296351824087957,3.652173913043478,4.143928035982009
YDR533C,3.1244377811094455,2.6761619190404797,2.665167416291854,3.335832083958021
YDR534C,2.652673663168416,1.922038980509745,1.354822588705647,2.5387306346826586
YDR538W,3.4372813593203397,2.3568215892053974,3.1959020489755123,3.68215892053973
YDR539W,3.5942028985507246,3.2938530734632683,4.650174912543728,2.8310844577711145
YDR540C,2.7721139430284856,2.264367816091954,2.5142428785607196,3.1369315342328834
YDR541C,2.8160919540229883,2.2573713143428287,2.929535232383808,2.738630684657671
YDR545W,3.95952023988006,2.825087456271864,4.237881059470265,4.0
YEL001C,5.600699650174913,5.970514742628685,6.191904047976012,5.664167916041979
YEL002C,7.8455772113943025,7.035482258870565,9.275862068965518,7.443778110944527
YEL003W,8.059970014992503,6.256871564217891,8.115942028985508,5.944527736131934
YEL004W,3.786606696651674,2.922038980509745,3.813093453273363,5.425787106446776
YEL005C,3.058470764617691,2.52223888055972,3.8535732133933034,3.546726636681659
YEL006W,5.342328835582209,5.1834082958520735,6.980509745127437,5.239880059970015
YEL007W,5.907046476761619,4.556221889055473,5.310844577711144,4.079460269865067
YEL009C,23.76661669165417,24.183908045977013,23.393303348325837,27.126436781609197
YEL012W,3.8835582208895554,2.783608195902049,2.43928035982009,3.7521239380309845
YEL013W,5.911044477761119,6.663668165917041,9.009995002498751,7.11344327836082
YEL015W,3.4352823588205896,3.7161419290354822,4.491254372813593,4.808595702148925
YEL016C,3.3818090954522737,2.1409295352323836,2.8850574712643677,2.9160419790104948
YEL017C-A,22.788105947026487,26.639180409795102,22.170414792603697,17.5752123938031
YEL017W,4.083958020989505,3.6711644177911045,2.9760119940029983,2.2928535732133932
YEL018W,4.152423788105947,3.3233383308345825,3.9625187406296853,3.576711644177911
YEL019C,2.0634682658670664,1.5497251374312844,1.9080459770114941,2.6766616691654175
YEL020W-A,10.468765617191405,11.260369815092453,10.142928535732134,8.245877061469265
YEL022W,2.948025987006497,2.9575212393803096,2.500749625187406,3.1764117941029486
YEL023C,3.342328835582209,2.9350324837581208,3.0239880059970017,3.5292353823088454
YEL024W,5.16591704147926,3.7961019490254873,3.8895552223888057,3.4472763618190903
YEL025C,3.7061469265367317,3.9535232383808094,4.054972513743128,4.165417291354323
YEL026W,29.00999500249875,27.23288355822089,24.4087956021989,18.141429285357322
YEL027W,10.219890054972513,9.715642178910544,10.159420289855072,6.929535232383808
YEL029C,3.873063468265867,3.295352323838081,3.8885557221389306,4.72863568215892
YEL031W,7.008495752123938,6.515242378810595,7.8745627186406795,6.105947026486756
YEL032W,4.542728635682159,4.202898550724638,4.360819590204898,3.4897551224387806
YEL034W,34.84307846076962,38.6031984007996,13.162918540729635,13.64967516241879
YEL036C,5.731634182908546,6.424287856071964,6.086956521739131,4.585207396301849
YEL037C,5.271864067966017,3.9355322338830585,5.42928535732134,4.80359820089955
YEL038W,4.130434782608695,3.133433283358321,4.877561219390305,3.268865567216392
YEL039C,11.553223388305847,9.335332333833083,10.35632183908046,7.0279860069965014
YEL040W,20.20039980009995,21.8055972013993,25.00249875062469,23.087956021989005
YEL041W,4.577211394302848,3.7246376811594204,4.714642678660669,4.415792103948026
YEL042W,5.962518740629685,4.161419290354822,6.293353323338331,5.106446776611694
YEL043W,7.7321339330334835,7.118440779610195,10.03848075962019,5.551224387806097
YEL044W,6.555722138930535,7.604697651174413,6.659670164917541,4.923538230884557
YEL046C,31.357321339330333,32.15242378810595,37.47426286856572,20.775612193903047
YEL047C,18.458770614692654,14.068465767116441,13.57671164417791,7.045977011494253
YEL048C,4.852073963018491,3.583208395802099,5.888055972013993,4.768615692153923
YEL049W,3.0579710144927534,1.8270864567716143,1.984007996001999,2.4397801099450276
YEL050C,3.7236381809095453,3.365317341329335,3.9090454772613694,3.322838580709645
YEL051W,10.923538230884558,10.432783608195901,12.455272363818091,9.634682658670664
YEL052W,3.864567716141929,3.5367316341829085,3.846576711644178,3.2223888055972014
YEL053C,3.8030984507746126,4.575712143928036,4.534732633683158,4.371314342828586
YEL054C,24.79110444777611,21.920039980009996,26.918540729635183,17.979010494752625
YEL055C,8.399300349825088,5.12343828085957,5.426286856571714,5.766116941529235
YEL056W,3.1754122938530736,2.9330334832583707,4.767616191904048,3.6861569215392302
YEL057C,2.861569215392304,1.9215392303848076,2.5227386306846578,2.6731634182908546
YEL058W,2.7406296851574212,3.0419790104947526,4.143928035982009,1.6781609195402298
YEL059C-A,2.031984007996002,1.9760119940029985,2.211394302848576,1.9135432283858071
YEL060C,3.4652673663168416,2.649175412293853,2.818090954522739,2.975512243878061
YEL061C,2.742128935532234,2.918040979510245,3.369815092453773,2.9340329835082457
